"częściowej odmowy i poinformuje wnioskodawcę","partial refusal and inform the applicant"
"człowieka i poszanowania podstawowych wolności","human rights and respect for fundamental"
"czynnik stabilności i wzrostu może","factor of stability and growth can"
"czystej formie lub jako mieszanka","pure form or as a blend"
"dane i informacje o stanie","data and information on the state"
"decyzji komisji i konsultacjach społecznych","commission decision and public consultation"
"decyzji zawarte w sprawozdaniu są","decision contained in the report shall"
"demokratycznego społeczeństwa otwartego na wszystkich","democratic society open to all"
"dialog oraz konsultacje na wczesnym","dialogue and early consultation on"
"dla działań w drugim roku","for action in the second year"
"dla innowacji i mogą dostarczać","for innovation and can provide"
"dla każdego państwa lub regionalnej","for each state or regional"
"dla każdej szerokiej kategorii materiałowej","for each broad category of material"
"dla konsumentów bardzo przekonywujący argument","very convincing argument for consumers"
"dla postępu naukowego i technologicznego","for scientific and technological progress"
"dla programu może również obejmować","for the programme may also cover"
"dla sektora publicznego i prywatnego","for the public and private sector"
"dla szczebla regionalnego i lokalnego","for the regional and local level"
"dla środowiska oraz zdrowia ludzkiego","environment and for human health"
"dla zdrowia ludzi lub środowiska","human health or to the environment"
"dla zdrowia ludzkiego i środowiska","human health and the environment"
"do demokracji i gospodarki rynkowej","to democracy and a market economy"
"do finansowania i transferu technologii","to funding and transfer of technology"
"do głosowania jest prawem osobistym","to vote is a personal"
"do głosowania prawo do głosowania","to vote the right to vote"
"do ich znaczenia i nie","with their importance and should not"
"do którego niniejsza dyrektywa musi","by which this directive must"
"do modelowania i oszacowania celu","for modelling and objective estimation"
"do niniejszej dyrektywy lub odniesienie","reference to this directive or shall"
"do ogrzewania i chłodzenia badania","for heating and cooling research"
"do ozonu objętość musi być","for ozone the volume must be"
"do postępu naukowego i technicznego","to scientific and technical progress"
"do postępu technicznego dyrektywę rady","to technical progress council directive"
"do rozwoju gospodarczego i dobrobytu","to economic development and prosperity"
"do swojego pierwszego okresu zobowiązań","for its first commitment period"
"do szybkich zmian w sektorze","to rapid change in the sector"
"do upadłości i nadmiernego zadłużenia","to bankruptcy and excessive debt"
"do wydania pozytywnej opinii komisji","positive opinion issued by the commission"
"do wzrostu zagranicznych inwestycji bezpośrednich","to increased foreign direct investment"
"do załącznika b do protokołu","to annex b to this protocol"
"do zasobów finansowych i transferu","to financial resources and transfer"
"do zmian temperatury i warunków","for changing temperature and weather conditions"
"dobrobytu wewnątrz i poza jej","prosperity both within and outside its"
"dokładną i kompleksową ocenę techniczną","thorough and comprehensive technical assessment"
"dostarczać informacje o demontażu każdego","provide dismantling information for each"
"dostaw i materiałów innego pochodzenia","supplies and materials of different origin"
"dostawami energii i transportem energii","energy supply and energy transport"
"dostawą energii i transportem energii","energy supply and energy transport"
"dostęp bezpośredni w formie elektronicznej","access in electronic form or through"
"dostęp do informacji dla wszystkich","access to information for all"
"dostępnej wiedzy naukowej i technicznej","available scientific and technical knowledge"
"dostępności zasobów i materiałów surowych","availability of resources and raw materials"
"dostępnych i niezbędnych do wdrażania","necessary and available for the implementation"
"dostępnych ocenach naukowych i gospodarczych","available scientific and economic assessment"
"dostępu publicznego do informacji o","public access to information on"
"doświadczeniem i wymiany informacji o","experience and exchange information on"
"druga kategoria obejmuje dużą liczbę","second category encompasses a large number"
"duże znaczenie jakościowe dla ich","great qualitative importance for their"
"dużym stopniu uzupełniałby transport indywidualny","large extent complementing individual transport"
"dwustronnych i polityki dobrego sąsiedztwa","bilateral relations and good neighbourhood policy"
"dwutlenku węgla i innych gazów","carbon dioxide and other greenhouse gases"
"dwutlenku węgla i rozwój ten","carbon dioxide emissions and this expansion"
"dyskusja nad zmianami klimatu nadmiernie","discussion on climate change focuses excessively"
"działając w zgodzie z procedurą","acting in accordance with the procedure"
"działalności i końcowe sprawozdania finansowe","activity report and final financial"
"działania - aeronautyka i transport","activities - aeronautics and air transport"
"działania mogą złagodzić zmiany klimatu","action now can mitigate climate change"
"działania na poziomie regionalnym często","activities at regional level often"
"działania te powinny więc być","those activities should therefore be"
"działań badany będzie również wpływ","activities will also investigate the impact"
"działań będzie wymagało formalnego zobowiązania","activities will require a formal commitment"
"dziedzinie polityki bezpieczeństwa i obrony","field of security and defence policy"
"edukacji i szkoleń z pracą","education and training with work"
"ekonomicznej i społecznej na każdym","economic and social policies at all"
"elektrolitu na miejscu lub gdzie","electrolyte neutralisation on site or elsewhere"
"elementu vet w spójnych ramach","vet component within the coherent framework"
"elementy strukturalne protokołu z kyoto","structural elements of the kyoto protocol"
"energii elektrycznej i łączności telefonicznych","electrical power and telephone communications"
"energii i innych podstawowych zasobów","energy and other essential resources"
"energii i materiałów oraz podróż","energy and materials use and travelling"
"energii jest wyraźnie szkodliwych dla","energy projects are clearly harmful to"
"energii lub innych podstawowych zasobów","energy or other essential resources"
"energii oraz innych zasobów przez","energy and other resources by"
"etykietowanie oraz standardowe informacje o","by labelling and standard product information"
"eu ets dla transportu powietrznego","eu ets for air transport"
"ewolucji wiedzy naukowej i technicznej","evolution of scientific and technological knowledge"
"faktyczne oddziaływanie gospodarcze będzie zależało","actual economic impact will depend"
"filarem każdej przyszłej strategii energetycznej","pillar of any future energy strategy"
"finansowa kwota odniesienia do realizacji","financial reference amount for the implementation"
"finansowania wspólnoty bez uszczerbku dla","community funding programmes without prejudice to"
"finansowego i na podstawie przepisów","financial regulation and on the basis"
"formie elektronicznej czy jako dźwięk","electronic form or as a sound"
"formie elektronicznej lub poprzez rejestr","electronic form or through a register"
"fundusz gwarancyjny dla działań zewnętrznych","guarantee fund for external action"
"funduszu socjalnego i funduszu spójności","social fund and the cohesion fund"
"funduszu społecznego oraz funduszu spójności","social fund and the cohesion fund"
"funduszy gwarancyjnych lub funduszy inwestycyjnych","guarantee funds or investment funds"
"funduszy strukturalnych nie była oczywista","structural fund programme were not apparent"
"gazowy chlor uwalniany na różnych","gaseous chlorine released in the various"
"george dura i nio popescu","george dura and nio popescu"
"globalnego ocieplenia i zmiany klimatu","global warming and climate change"
"głębokość i odległość od brzegu","depth and distance from the coast"
"głosowania nad projektem rezolucji legislacyjnej","on the draft legislative resolution"
"głosowania prawo do głosowania jest","vote the right to vote is"
"gospodarcza i warunki finansowe są","economic policy and financial conditions are"
"gospodarcze dla transportu lotniczego między","economic implications for air transport between"
"granice misji eu bam rafah","border monitoring mission eu bam rafah"
"grupę polityczną lub komisję parlamentarną","political group or a parliamentary committee"
"grupy politycznej nie jest dopuszczalny","political group is not admissible"
"gwarancję budżetową wspólnoty na operacje","community budgetary guarantee for operations"
"gwarancji z jego zasobów własnych","guarantee financing from its own resources"
"historyczny rok lub okres bazowy","historical base year or period"
"ich główne działania są często","their main activities are often"
"ich ogłoszenie w dzienniku urzędowym","their publication in the official journal"
"ich położeniu geograficznemu i tradycyjnym","their geographical position and the traditional"
"ich relacji z całym spektrum","their relationship with the whole spectrum"
"ich rozwoju językowego i tożsamości","their language and identity development"
"ich systemami instytucjonalnymi oraz przy","with their institutional system and taking"
"ich warunkami społecznymi i ekonomicznymi","their social and economic conditions"
"ich znaczenie jako zasadniczych elementów","their importance as an essential element"
"ilościowego stanu wody oraz spójnej","quantitative water status and a coherent"
"ilość informacji o zmianach klimatu","amount of information on climate change"
"informacje na etykiecie są również","information on the label shall also"
"informacji i wymiany wiedzy między","information sharing and knowledge exchange between"
"informacji o zmianach klimatu jest","information on climate change is"
"innowacji i mogą dostarczać przedsiębiorstwom","innovation and can provide business"
"innych niż transport oraz specyficzne","other than transport and the specific"
"innych podstawowych zasobów oraz informacje","other essential resources and supplementary information"
"instytucja może w swoim regulaminie","institution may in its rules"
"instytucję i jest łatwo dostępny","institution concerned and is easily accessible"
"integracji gospodarczej i współpracy politycznej","economic integration and political cooperation"
"intensywnej nauki języka dla wszystkich","intensive language learning for all"
"intensywnych i owocnych stosunków między","more intense and fruitful relations"
"interakcje na szczeblu regionalnym są","interaction at regional level is"
"inwestycji w badania i rozwój","investment in research and development"
"inwestycji w vet poprzez rozwój","investment in vet through the development"
"istotną społeczną i gospodarczą funkcję","vital social and economic function"
"jak badania i rozwój technologiczny","as research and technological development"
"jak intensywne rolnictwo lub turystyka","as intensive agriculture or tourism"
"jak ograniczony potencjał narodowy do","as the limited national potential for"
"jakichkolwiek innych organów lub osób","any other authority or person"
"jako jednego z wielu forów","as one of many forums for"
"jakość życia i globalna współzależność","quality of life and global interdependence"
"jeden mówca za i jeden","one speaker in favour and one"
"jednemu mówcy za i jednemu","one speaker in favour and one"
"jednolitej i jednoznacznej klasyfikacji taryf","uniform and unambiguous tariff classification"
"jedynie w części z olejów","only in part of oil"
"jego cyklu życia minimalnej liczby","its life cycle a minimum number"
"jego ochrona lotnictwa jest prawdopodobnie","its aviation security is probably"
"jego zgodności z niniejszym rozporządzeniem","its consistency with this regulation"
"jej pierwszej sesji i okresowo","its first session and periodically"
"jej publikacji w dzienniku urzędowym","its publication in the official journal"
"jest bardziej skuteczna i odpowiedzialna","is more effective and more accountable"
"jest bardziej systematyczne podejście do","more systematic approach is needed to"
"jest całkowicie wolne od opłat","is not fully free of charge"
"jest kulturowa i językowa różnorodność","cultural and linguistic diversity is one"
"jest łatwo dostępny dla wnioskodawcy","is easily accessible to the applicant"
"jest obecnie konstruktywne przywództwo polityczne","now is a constructive political leadership"
"jest potencjalnie użytecznym źródłem do","is a potentially useful source for"
"jest to konieczne do wsparcia","this is necessary to support"
"jest to użyteczne dla osiągnięcia","this is useful for the achievement"
"jest wyraźnie szkodliwych dla środowiska","are clearly harmful to the environment"
"jest zastępowany w specjalnej komisji","be replaced on the special committee"
"jest zgodne z jego interpretacją","is consistent with its interpretation"
"jeśli wniosek nie jest wystarczająco","if an application is not sufficiently"
"jeżeli identyczne lub podobne pytanie","if an identical or similar question"
"jeżeli jest to konieczne do","when this is necessary to"
"języka urzędowego i języka roboczego","official language and a working language"
"językiem urzędowym i językiem roboczym","official language and a working language"
"każda instytucja może w swoim","each institution may in its"
"każda regionalna organizacja integracji gospodarczej","any regional economic integration organization"
"każdą informację pisemną lub ustną","any written or oral information"
"każdego innego zabezpieczenia lub zabezpieczenia","any other security or collateral"
"każdego metalu nie powinna być","each metal should be no"
"każdego typu urządzenia muszą być","each type of appliance must be"
"każdego z krajów lub regionów","for each country or region"
"każdy finansowany jest przez innych","are each financed by the different"
"każdym przypadku w sposób dostosowany","each case in a manner tailored"
"kg całkowitego siarczanu na tonę","kg of total sulphate per tonne"
"kluczowym obszarem bliskiej współpracy między","key area of closer co-operation"
"komisja będzie śledziła ich wprowadzanie","commission will follow up their implementation"
"komisja kultury i edukacji komisja","committee on culture and education committee"
"komisja stała lub tymczasowa może","standing or temporary committee may"
"komisję plan strategii i działania","commission's strategy and action plan"
"komisji odpowiedzialnej za kontrolę budżetową","committee responsible for budgetary control"
"komitet stowarzyszenia podejmuje wszelkie inne","association committee shall take any other"
"kompleksowej strefy wolnego handlu jako","comprehensive free trade area as"
"konieczne jest bardziej systematyczne podejście","more systematic approach is needed to"
"konkurencyjność i zwiększa spójność społeczną","competitiveness and in enhancing social cohesion"
"konsumentów bardzo przekonywujący argument za","very convincing argument for consumers to"
"konsumentów i przedsiębiorstw do nowych","consumers and businesses for new"
"kontakcie z wodą lub wilgotnym","contact with water or damp"
"kontrolowanie inwazyjnych obcych gatunków łącznie","control of invasive alien species including"
"konwencja o dostępie do informacji","convention on access to information"
"konwencji i za odpowiednie do","convention and suitable for inclusion in"
"konwencji i zapewniać ich publikację","convention and ensure their publication"
"konwencji na jej pierwszej sesji","convention at its first session"
"końcowego oraz podstawowego zużycia energii","final and primary energy consumption"
"koordynacji i współpracy z wielostronnymi","coordination and cooperation with multilateral"
"koperta finansowa na wdrażanie niniejszego","financial envelope for implementation of this"
"korupcją oraz wszelką nielegalną działalnością","corruption and any illegal activity"
"kosmicznej - badania i rozwój","foundations - space research and development"
"kosztów adaptacji do tych niekorzystnych","costs of adaptation to those adverse"
"kosztów aktywnego i pasywnego ogrzewania","costs of active and passive heating"
"kosztów niezbędnych do skutecznego administrowania","costs necessary for the effective administration"
"kraje rozwinięte i inne rozwinięte","developed country parties and other developed"
"krajowej i regionalnej współpracy finansowej","national and regional financial cooperation"
"krajowych zdolności administracyjnych i instytucjonalnych","national administrative and institutional capacity"
"królestwo działało w dobrej wierze","kingdom was acting in good faith"
"które będą konieczne do ograniczenia","that will be needed to limit"
"które mogą z nich korzystać","which can benefit from it"
"które nie są dostępne bezpośrednio","which are not directly accessible"
"które są groźne powinny być","that are dangerous should be"
"które są istotne dla pomocy","which are relevant to the assistance"
"które są wspólne dla wszystkich","which are common to all"
"które w tym czasie nie","which at that time have not"
"które wycofają swe powiadomienie o","for parties which withdraw their notification"
"który jest z kolei jednym","who is in turn one of"
"który ma bezpośredni interes finansowy","who has a direct financial interest"
"który zapobiegałby niebezpiecznej antropogenicznej ingerencji","that would prevent dangerous anthropogenic interference"
"których każdy finansowany jest przez","which are each financed by"
"których rok lub okres bazowy","that base year or period"
"kwasowości i zawartości metali ciężkich","acidity and its heavy metal content"
"kwoty fakultatywnej i jej rozdziale","optional amount and its regional distribution"
"legislacyjny i program prac są","legislative and work programme shall"
"lokalną demokrację i skuteczną administrację","democracy and effective local administration"
"lokalne i regionalne będą musiały","local and regional authorities will need"
"lotnictwa cywilnego i międzynarodowej organizacji","civil aviation organization and the international"
"lotnictwa dla tego kluczowego sąsiada","aviation relations to this key neighbour"
"lotnictwa do eu ets po","aviation into the eu ets after"
"ludności i potrzebne są wspólne","population and concerted efforts are needed"
"ludzie byli skutecznie chronieni przed","people should be effectively protected against"
"ludzkich i wsparcie dla edukacji","human resources and support for education"
"ludzkiej i dla przyrody są","human society and for nature are"
"łańcucha dostaw i ułatwienie handlu","supply chain security and trade facilitation"
"łącznie z różnorodnością zasobów genetycznych","including diversity of genetic resources"
"łączności i wymiany informacji są","communication and information exchange systems shall"
"ma dostępu do żadnych poufnych","have access to any confidential"
"ma duże znaczenie jakościowe dla","has great qualitative importance for"
"ma silną i wysokiej jakości","has a strong and high quality"
"małych opakowań i opakowań luksusowych","small packaging and luxury packaging"
"materiałami może być dozwolone tylko","materials may be permitted only"
"metan są silnymi gazami cieplarnianymi","methane are strong greenhouse gases"
"miało wyraźne i niekiedy nieprzyjemne","have clear and sometimes unpleasant"
"mieli dostęp do wysokiej jakości","have access to high quality"
"między ich dwustronną i wielostronną","between their bilateral and multilateral"
"między wewnętrznym i zewnętrznym wymiarem","between the internal and external dimension"
"między wszystkimi starymi i nowymi","between all the old and new"
"międzynarodowa polityka ma trzy współzależne","international policy has three interdependent"
"międzynarodową pomoc żywnościową oraz o","for international food aid and fao"
"międzynarodowego systemu walutowego i finansowego","international monetary and financial system"
"międzynarodowej organizacji lotnictwa cywilnego do","international civil aviation organisation by"
"międzynarodowej w badaniach i rozwoju","international cooperation in research and development"
"międzynarodowy transport lotniczy jest jedną","international air transport is one"
"modelowania i oszacowania celu jest","modelling and objective estimation is"
"mogą stworzyć nierówne warunki konkurencji","may create unequal conditions of competition"
"mogą w zasadzie być używane","may in principle be used"
"monitoring dla środowiska i bezpieczeństwa","monitoring for environment and security"
"może być dostosowany do postępu","may be adapted to technical progress"
"może być otwarty dla wszystkich","may be open to all"
"może być reprezentowany przez innego","may be represented by another"
"może być także otwarty dla","may also be open to"
"może być wspierany przez wspólny","may be assisted by a joint"
"może być wykorzystywany w rolnictwie","may be used in agriculture"
"może być wymagany wkład finansowy","financial contribution may be required"
"może je w każdej chwili","it may at any time"
"może także być używany jako","can also be used as"
"może w swoim regulaminie postępowania","may in its rules of procedure"
"możliwość współpracy administracyjnej oraz wzajemnej","possibility for administrative cooperation and mutual"
"mówcy za i jednemu mówcy","speaker in favour and one speaker"
"musi być otwarta dla wszystkich","has to be open to all"
"musiały być gotowe do pomocy","need to be ready to help"
"na badanie i stały monitoring","for the study and constant monitoring"
"na bardziej bolesną i kosztowną","to much more painful and expensive"
"na bardzo ścisłym partnerstwie między","on a very close partnership between"
"na cały enpi są niewystarczające","for the whole enpi is insufficient"
"na celu podwojenie całkowitego udziału","aiming at doubling the overall share"
"na celu zapobieganie i kontrolowanie","aimed at the prevention and control"
"na finansowanie pożyczek i gwarancji","for loan and guarantee financing"
"na ich terytorium spełniali obowiązki","in their territory fulfil their obligations"
"na konieczne działania i realizację","for the necessary action and implementation"
"na migracji na poziomie regionalnym","in particular migration at regional level"
"na pisemny lub ustny wniosek","in a written or oral request"
"na popyt na transport lotniczy","on the demand for air transport"
"na poziomie globalnym będzie prowadził","global level will lead to continuing"
"na poziomie krajowym świadomości społecznej","at the national level public awareness"
"na poziomie regionalnym często opierają","at regional level often rely"
"na poziomie regionalnym i krajowym","at national and regional level"
"na poziomie regionalnym i lokalnym","at regional and local level"
"na przykład poprzez zastosowanie instrumentów","for example by using the instrument"
"na skalę światową nie są","at a global scale are not"
"na społeczne i prawne ramy","to the social and legal framework"
"na spójność gospodarczą i społeczną","on economic and social cohesion"
"na szczebel lokalny i regionalny","local and regional level in all"
"na szczeblu gminnym i lokalnym","at municipal and local level"
"na szczeblu krajowym i lokalnym","at national and local level"
"na szczeblu lokalnym i krajowym","at local and national level"
"na szczeblu lokalnym i regionalnym","at local and regional level"
"na szczeblu regionalnym i lokalnym","the regional and local level"
"na szczeblu regionalnym i międzynarodowym","at regional and international level"
"na szczeblu regionalnym oraz lokalnym","to the regional and local level"
"na szczeblu regionalnymi i lokalnym","at the regional and local level"
"na środowisko fizyczne i naturalne","on the physical and natural environment"
"na środowisko morskie i jego","on the marine environment and its"
"na transporcie drogowym i lotniczym","on road and air transport"
"na transport poziomy i mieszanie","on horizontal transport and vertical mixing"
"na tym etapie dopuszczalne są","be admissible at this stage"
"na uwadze obecne i przyszłe","regard to present and future"
"na wymianę informacji oraz zarządzanie","to information sharing and knowledge management"
"na zasadzie wyjątkowej i przejściowej","on an exceptional and transitional basis"
"na zdrowie i dobrobyt człowieka","on human health and welfare"
"na zdrowie ludzi oraz środowisko","on human health and the environment"
"na zdrowie ludzkie i środowisko","human health and the environment"
"na zwierzętach i rozwijają alternatywne","for animal testing and develop alternative"
"nad zmianami klimatu nadmiernie skupia","on climate change focuses excessively"
"nadal mają one rzeczywisty potencjał","they still have a real potential"
"natężenie transportu drogowego oznacza również","road transport volume also means"
"natury ogólnej lub w konkretnych","general nature or on specific"
"nauce i badaniach będzie aktywnie","science and research will be actively"
"nauczania i nauki języków obcych","foreign language teaching and learning"
"nauczyciela języka i nauczyciela wyspecjalizowanego","language teacher and special needs teacher"
"naukę języków w każdym wieku","language learning at all ages"
"nauki i technologii oraz ich","science and technology and their"
"naukowych i technicznych oraz promować","scientific and technical research and promote"
"nie jest całkowicie wolne od","is not fully free of"
"nie jest dopuszczalne w przypadku","not be admissible in the case"
"nie jest gotowa zaakceptować wszystkich","is not prepared to accept all"
"nie jest to jedynie kwestia","this is not only a question"
"nie ma dostępu do żadnych","not have access to any"
"nie marnować czasu na niezbędne","waste no time for the necessary"
"nie może być stosowana do","may not be applied to"
"nie może być w tym","can not be used for this"
"nie może przekraczać jednego miesiąca","may not exceed one month"
"nie nabywa jednostek redukcji emisji","not acquire any emission reduction units"
"nie powinna mieć negatywnego wpływu","should not have a negative impact"
"nie powinna w żaden sposób","should not detract in any way"
"nie prowadzi do znacznego negatywnego","not lead to a significant negative"
"nie są dopuszczalne w przypadku","not be admissible in the case"
"nie są dostępne bezpośrednio poprzez","are not directly accessible through"
"nie tylko dla rozwoju kariery","not only to the career development"
"nie tylko na szczeblu krajowym","not only on the national level"
"niebezpiecznych antropogenicznych zmian klimatu muszą","dangerous anthropogenic climate change must"
"nieliczne pozytywne wyniki gospodarcze nie","that the few positive economic results"
"niezależną kontrolę i weryfikację projektów","independent auditing and verification of project"
"niezależnie od metody i zakresu","irrespective of the method and extent"
"niniejsza dyrektywa powinna obejmować wszystkie","this directive should cover all"
"niniejsze rozporządzenie zastąpi rozporządzenie rady","this regulation will replace council regulation"
"niniejszego artykułu w taki sposób","this article in such a way"
"niniejszego rozporządzenia do wszelkich działań","this regulation to all activities"
"niniejszego rozporządzenia oraz program działań","this regulation and an action programme"
"niniejszego zalecenia w dzienniku urzędowym","this recommendation in the official journal"
"niniejszej decyzji nie mogą być","this decision can not be"
"niniejszej decyzji w poprzednim roku","this decision in the preceding year"
"niniejszej dyrektywy do takiego postępu","this directive to such progress"
"nowe i dodatkowe środki finansowe","new and additional financial resources"
"nowe ramy planowania i przekazywania","new framework for planning and delivering"
"nowego faktu lub sytuacji prawnej","new fact or legal situation"
"nowy cel strategiczny na kolejną","new strategic goal for the next"
"o handel i integrację gospodarczą","on trade and economic integration"
"o ich dopuszczalności i kolejności","their admissibility and on the order"
"o przeznaczeniu pierwotnym lub o","for the original purpose or for"
"o współpracy finansowej i technicznej","on financial and technical cooperation"
"o zastosowaniu elektronicznego systemu głosowania","for using the electronic voting system"
"obcych gatunków łącznie z obcymi","of invasive alien species including alien"
"obecną praktykę i nie będzie","current practice and will not"
"obecnie w swój drugi etap","now in its second phase"
"obiektywnego i spójnego podejścia do","objective and coherent eu approach to"
"ocenę współpracy i stosunków między","evaluation of eu-ukraine cooperation and relations"
"ocenia postępy i rozpatruje wszelkie","evaluate progress and examine any"
"oceny ryzyka i zarządzania ryzykiem","risk assessment and risk management"
"ochrona i właściwa odbudowa przyrody","protection and appropriate restoration of nature"
"od dostępności zasobów i materiałów","availability of resources and raw materials"
"od swego rządu i współpracując","their government and by cooperating"
"odbijają promieniowanie i mają słabe","reflect radiation and have a slight"
"odpowiedzialność za przygotowania i planowanie","responsibility for preparing and planning"
"ogólnej wielkości transportu oraz do","overall amount of transport and to"
"ograniczenia wzrostu średniej światowej temperatury","limiting the global average temperature increase"
"ograniczony dostęp do informacji dla","restricted access to information for"
"ograniczony potencjał narodowy do produkcji","limited national potential for production"
"opakowania transportowe lub opakowania trzeciorzędne","transport packaging or tertiary packaging"
"opakowań nie powinny dotyczyć opakowań","packaging should not apply to packaging"
"organ zarządzający jest odpowiedzialny za","authority shall be responsible for"
"organ zarządzający może być wspierany","managing authority may be assisted"
"organizacji lotnictwa cywilnego i międzynarodowej","civil aviation organization and the international"
"osobiste stosunki w tym obszarze","personal relations in this area"
"ostateczna dokument roboczy komisji sprawozdanie","final commission working document report"
"otrzymał również silne poparcie od","georgia also received strong support"
"otwarcia rynku i rygorystycznymi warunkami","opening and strict market conditions"
"otwarcie rynku i wzajemne uznawanie","market opening and the mutual recognition"
"otwarta do przystąpienia od dnia","open for accession from the day"
"otwartego obrotu uprawnieniami do emisji","open trading in emission rights"
"oznacza detalistę lub inną osobę","means a retailer or other person"
"oznacza jakikolwiek proces lub działalność","means any process or activity"
"oznaczają płynne lub gazowe paliwa","means liquid or gaseous fuel"
"oznaczają wszelkie opakowania lub materiały","mean any packaging or packaging material"
"ozonu w powietrzu powinny być","ozone in ambient air should be"
"paliw stałych do produkcji energii","solid fuel for energy production"
"państwa bez jego uprzedniej zgody","state without its prior agreement"
"państwa lub regionalnej organizacji integracji","state or regional economic integration organization"
"państwa trzeciego lub organizacji międzynarodowej","third state or international organisation"
"państwa trzeciego lub organizacji regionalnej","third country or regional organisation"
"państwo lub regionalną organizację integracji","state or regional economic integration organization"
"parlament może w każdej chwili","parliament may at any time"
"parlament może w każdym czasie","parliament may decide at any time"
"parlamentem lub jednym z jego","parliament or one of its"
"parlamentowi jednocześnie lub w krótkim","parliament simultaneously or within a short"
"parlamentowi wszelkich informacji istotnych dla","parliament with any information relevant to"
"pełnego udziału w nauce młodych","full participation in science among young"
"petycji do parlamentu w sprawach","petition to parliament on a matter"
"pewne niedogodności w życiu codziennym","some discomfort in everyday life"
"pewnym stopniu z konkurencją między","certain degree of competition between"
"pielęgnacji drzew i gospodarki leśnej","tree care and forest management"
"pierwotnym lub o innym przeznaczeniu","original purpose or for other"
"pierwotnym lub w innym celu","original purpose or for other"
"pierwszego języka może ułatwić uczenie","first language may facilitate the learning"
"pierwszego okresu zobowiązań mogą być","first commitment period can be"
"pięcioletniego programu prac na następny","five-year work programme for the following"
"plan strategii i działania dla","strategy and action plan for"
"plenarnym bez poprawek i debaty","plenary without amendment and debate"
"płynne lub gazowe paliwa dla","liquid or gaseous fuel for"
"początkowego lub na początku edukacji","primary education or at the beginning"
"pod głosowanie najpierw tekst pierwotny","original text to the vote first"
"podanie o dostęp do dokumentów","application for access to a document"
"podatku energetycznego w transporcie powietrznym","energy tax for air transport"
"podejmują indywidualnie lub wspólnie niezbędne","individually or jointly take the necessary"
"podejścia oraz będą proponować niezbędne","approach and will propose the necessary"
"podkomitet ocenia postępy i rozpatruje","subcommittee shall evaluate progress and examine"
